sp,lon,lat
Melanoides.tuberculataAN,-44.34655,-20.020288
Melanoides.tuberculataAN,-44.111387,-20.024998
Melanoides.tuberculataAN,-43.960713,-20.188144
Melanoides.tuberculataAN,-43.978515,-19.856965
Melanoides.tuberculataAN,-43.552619,-21.587599
Melanoides.tuberculataAN,-44.66802,-22.535087
Melanoides.tuberculataAN,-48.142418,-22.623918
Melanoides.tuberculataAN,-60.531146,-2.939866
Melanoides.tuberculataAN,-59.733892,-1.379
Melanoides.tuberculataAN,-56.260254,-2.403057
Melanoides.tuberculataAN,-52.116786,3.434575
Melanoides.tuberculataAN,-51.232973,0.906486
Melanoides.tuberculataAN,-61.733042,4.869125
Melanoides.tuberculataAN,-73.803551,9.168842
Melanoides.tuberculataAN,-74.730757,9.741453
Melanoides.tuberculataAN,-75.114479,10.426289
Melanoides.tuberculataAN,-73.032053,10.922992
Melanoides.tuberculataAN,-71.773627,12.045746
Melanoides.tuberculataAN,-77.045661,7.764341
Melanoides.tuberculataAN,-75.172438,6.296896
Melanoides.tuberculataAN,-75.920621,9.401493
Melanoides.tuberculataAN,-75.688056,9.153188
Melanoides.tuberculataAN,-73.7104,8.070228
Melanoides.tuberculataAN,-76.264225,7.960035
Melanoides.tuberculataAN,-76.844097,6.946356
Melanoides.tuberculataAN,-80.184477,-0.724869
Melanoides.tuberculataAN,-80.012655,9.095209
Melanoides.tuberculataAN,-79.853488,8.657229
Melanoides.tuberculataAN,-81.635026,8.005454
Melanoides.tuberculataAN,-67.383284,9.027602
Melanoides.tuberculataAN,-82.839714,9.61044
Melanoides.tuberculataAN,-83.524348,8.94528
Melanoides.tuberculataAN,-83.556653,8.810554
Melanoides.tuberculataAN,-83.132319,8.5965
Melanoides.tuberculataAN,-83.037744,8.450048
Melanoides.tuberculataAN,-82.865467,8.472626
Melanoides.tuberculataAN,-82.946138,8.665673
Melanoides.tuberculataAN,-83.329438,8.946487
Melanoides.tuberculataAN,-82.966706,8.874952
Melanoides.tuberculataAN,-83.487223,9.494202
Melanoides.tuberculataAN,-83.763334,10.84737
Melanoides.tuberculataAN,-80.500073,-4.671083
Melanoides.tuberculataAN,-61.696877,12.096799
Melanoides.tuberculataAN,-58.582261,6.100209
Melanoides.tuberculataAN,-85.044897,14.649244
